period,role_state_primary,role_label,product_id,product_name,image_url,detail_url,current_revenue,previous_revenue,revenue_delta,revenue_delta_rate,current_share_in_role,current_share_in_period,previous_share_in_role,product_rank,as_of_date,support_window_days,current_covered_days,previous_covered_days,expected_window_days,partial_history_flag,role_history_mode,role_history_mode_label,role_history_warning_level,role_history_warning_title,role_history_warning_copy,role_history_basis_copy,coverage_summary
daily,,관측 상태 없음,1000000112,매화 5송이 2호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000112/image/list/1000000112_list_032.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000112,129000,0,129000,,0.37315591553369976,0.047526065652286044,0,2,2026-04-17,1,1,0,1,true,partial_same_date,partial same-date coverage,caution,"어제(최근 확정일) 총매출은 전체 기간 기준이지만, 역할 비교는 관측된 일부 날짜만 반영됩니다.","기간 총매출은 1일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/1일, 비교 구간 0/1일입니다. 총매출 해석은 그대로 보셔도 되지만, 역할 변화 해석은 실제 관측된 날짜만 반영된 제한적 참고값입니다.","어제(최근 확정일) 총매출과 역할 변화 해석은 같은 범위를 뜻하지 않으며, 역할 표는 관측 확보분만 반영한 참고값입니다.","기간 총매출은 1일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/1일, 비교 구간 0/1일입니다."
daily,,관측 상태 없음,1000000033,가래떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000033/image/list/1000000033_list_090.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000033,49000,0,49000,,0.1417413942724906,0.01805253656559702,0,3,2026-04-17,1,1,0,1,true,partial_same_date,partial same-date coverage,caution,"어제(최근 확정일) 총매출은 전체 기간 기준이지만, 역할 비교는 관측된 일부 날짜만 반영됩니다.","기간 총매출은 1일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/1일, 비교 구간 0/1일입니다. 총매출 해석은 그대로 보셔도 되지만, 역할 변화 해석은 실제 관측된 날짜만 반영된 제한적 참고값입니다.","어제(최근 확정일) 총매출과 역할 변화 해석은 같은 범위를 뜻하지 않으며, 역할 표는 관측 확보분만 반영한 참고값입니다.","기간 총매출은 1일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/1일, 비교 구간 0/1일입니다."
daily,convergence,구매 집중,1000000087,백리향 1단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000087/image/list/1000000087_list_067.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000087,133000,0,133000,,0.8338557993730408,0.04899974210662049,0,1,2026-04-17,1,1,0,1,true,partial_same_date,partial same-date coverage,caution,"어제(최근 확정일) 총매출은 전체 기간 기준이지만, 역할 비교는 관측된 일부 날짜만 반영됩니다.","기간 총매출은 1일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/1일, 비교 구간 0/1일입니다. 총매출 해석은 그대로 보셔도 되지만, 역할 변화 해석은 실제 관측된 날짜만 반영된 제한적 참고값입니다.","어제(최근 확정일) 총매출과 역할 변화 해석은 같은 범위를 뜻하지 않으며, 역할 표는 관측 확보분만 반영한 참고값입니다.","기간 총매출은 1일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/1일, 비교 구간 0/1일입니다."
daily,convergence,구매 집중,1000000062,흰이티,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000062/image/list/1000000062_list_062.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000062,26500,0,26500,,0.16614420062695925,0.009763106509965737,0,2,2026-04-17,1,1,0,1,true,partial_same_date,partial same-date coverage,caution,"어제(최근 확정일) 총매출은 전체 기간 기준이지만, 역할 비교는 관측된 일부 날짜만 반영됩니다.","기간 총매출은 1일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/1일, 비교 구간 0/1일입니다. 총매출 해석은 그대로 보셔도 되지만, 역할 변화 해석은 실제 관측된 날짜만 반영된 제한적 참고값입니다.","어제(최근 확정일) 총매출과 역할 변화 해석은 같은 범위를 뜻하지 않으며, 역할 표는 관측 확보분만 반영한 참고값입니다.","기간 총매출은 1일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/1일, 비교 구간 0/1일입니다."
weekly,entry,첫구매 유도,1000000064,2색 이티,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000064/image/list/1000000064_list_053.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000064,600500,0,600500,,0.6941394058490348,0.22123567770695943,0,1,2026-04-17,7,1,0,7,true,partial_same_date,partial same-date coverage,strong,"최근 7일 총매출은 전체 기간 기준이지만, 역할 비교는 관측된 일부 날짜만 반영됩니다.","기간 총매출은 7일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/7일, 비교 구간 0/7일입니다. 총매출 해석은 그대로 보셔도 되지만, 역할 변화 해석은 실제 관측된 날짜만 반영된 제한적 참고값입니다.","최근 7일 총매출과 역할 변화 해석은 같은 범위를 뜻하지 않으며, 역할 표는 관측 확보분만 반영한 참고값입니다.","기간 총매출은 7일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/7일, 비교 구간 0/7일입니다."
weekly,entry,첫구매 유도,1000000093,매화 2송이 1호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000093/image/list/1000000093_list_057.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000093,264600,0,264600,,0.3058605941509652,0.09748369745422393,0,2,2026-04-17,7,1,0,7,true,partial_same_date,partial same-date coverage,strong,"최근 7일 총매출은 전체 기간 기준이지만, 역할 비교는 관측된 일부 날짜만 반영됩니다.","기간 총매출은 7일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/7일, 비교 구간 0/7일입니다. 총매출 해석은 그대로 보셔도 되지만, 역할 변화 해석은 실제 관측된 날짜만 반영된 제한적 참고값입니다.","최근 7일 총매출과 역할 변화 해석은 같은 범위를 뜻하지 않으며, 역할 표는 관측 확보분만 반영한 참고값입니다.","기간 총매출은 7일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/7일, 비교 구간 0/7일입니다."
weekly,expansion,단골 유도,1000000094,매화 3송이 1호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000094/image/list/1000000094_list_039.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000094,390000,0,390000,,0.45112781954887216,0.14368345429760895,0,1,2026-04-17,7,1,0,7,true,partial_same_date,partial same-date coverage,strong,"최근 7일 총매출은 전체 기간 기준이지만, 역할 비교는 관측된 일부 날짜만 반영됩니다.","기간 총매출은 7일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/7일, 비교 구간 0/7일입니다. 총매출 해석은 그대로 보셔도 되지만, 역할 변화 해석은 실제 관측된 날짜만 반영된 제한적 참고값입니다.","최근 7일 총매출과 역할 변화 해석은 같은 범위를 뜻하지 않으며, 역할 표는 관측 확보분만 반영한 참고값입니다.","기간 총매출은 7일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/7일, 비교 구간 0/7일입니다."
weekly,expansion,단골 유도,1000000088,백리향 2단 (1호 2호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000088/image/list/1000000088_list_033.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000088,270000,0,270000,,0.31231925968768076,0.09947316066757543,0,2,2026-04-17,7,1,0,7,true,partial_same_date,partial same-date coverage,strong,"최근 7일 총매출은 전체 기간 기준이지만, 역할 비교는 관측된 일부 날짜만 반영됩니다.","기간 총매출은 7일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/7일, 비교 구간 0/7일입니다. 총매출 해석은 그대로 보셔도 되지만, 역할 변화 해석은 실제 관측된 날짜만 반영된 제한적 참고값입니다.","최근 7일 총매출과 역할 변화 해석은 같은 범위를 뜻하지 않으며, 역할 표는 관측 확보분만 반영한 참고값입니다.","기간 총매출은 7일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/7일, 비교 구간 0/7일입니다."
weekly,expansion,단골 유도,1000000085,십리향 2단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000085/image/list/1000000085_list_069.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000085,117500,0,117500,,0.1359167148640833,0.04328924584607449,0,3,2026-04-17,7,1,0,7,true,partial_same_date,partial same-date coverage,strong,"최근 7일 총매출은 전체 기간 기준이지만, 역할 비교는 관측된 일부 날짜만 반영됩니다.","기간 총매출은 7일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/7일, 비교 구간 0/7일입니다. 총매출 해석은 그대로 보셔도 되지만, 역할 변화 해석은 실제 관측된 날짜만 반영된 제한적 참고값입니다.","최근 7일 총매출과 역할 변화 해석은 같은 범위를 뜻하지 않으며, 역할 표는 관측 확보분만 반영한 참고값입니다.","기간 총매출은 7일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/7일, 비교 구간 0/7일입니다."
weekly,expansion,단골 유도,1000000086,십리향 3단,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000086/image/list/1000000086_list_048.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000086,87000,0,87000,,0.1006362058993638,0.0320524628817743,0,4,2026-04-17,7,1,0,7,true,partial_same_date,partial same-date coverage,strong,"최근 7일 총매출은 전체 기간 기준이지만, 역할 비교는 관측된 일부 날짜만 반영됩니다.","기간 총매출은 7일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/7일, 비교 구간 0/7일입니다. 총매출 해석은 그대로 보셔도 되지만, 역할 변화 해석은 실제 관측된 날짜만 반영된 제한적 참고값입니다.","최근 7일 총매출과 역할 변화 해석은 같은 범위를 뜻하지 않으며, 역할 표는 관측 확보분만 반영한 참고값입니다.","기간 총매출은 7일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/7일, 비교 구간 0/7일입니다."
weekly,return,반복 구매,1000000044,고구마찰떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000044/image/list/1000000044_list_088.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000044,199000,0,199000,,0.41501564129301355,0.07331540360313893,0,1,2026-04-17,7,1,0,7,true,partial_same_date,partial same-date coverage,strong,"최근 7일 총매출은 전체 기간 기준이지만, 역할 비교는 관측된 일부 날짜만 반영됩니다.","기간 총매출은 7일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/7일, 비교 구간 0/7일입니다. 총매출 해석은 그대로 보셔도 되지만, 역할 변화 해석은 실제 관측된 날짜만 반영된 제한적 참고값입니다.","최근 7일 총매출과 역할 변화 해석은 같은 범위를 뜻하지 않으며, 역할 표는 관측 확보분만 반영한 참고값입니다.","기간 총매출은 7일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/7일, 비교 구간 0/7일입니다."
weekly,return,반복 구매,1000000063,쑥이티,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000063/image/list/1000000063_list_055.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000063,181500,0,181500,,0.37851929092805003,0.06686806911542571,0,2,2026-04-17,7,1,0,7,true,partial_same_date,partial same-date coverage,strong,"최근 7일 총매출은 전체 기간 기준이지만, 역할 비교는 관측된 일부 날짜만 반영됩니다.","기간 총매출은 7일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/7일, 비교 구간 0/7일입니다. 총매출 해석은 그대로 보셔도 되지만, 역할 변화 해석은 실제 관측된 날짜만 반영된 제한적 참고값입니다.","최근 7일 총매출과 역할 변화 해석은 같은 범위를 뜻하지 않으며, 역할 표는 관측 확보분만 반영한 참고값입니다.","기간 총매출은 7일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/7일, 비교 구간 0/7일입니다."
weekly,return,반복 구매,1000000045,완두시루떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000045/image/list/1000000045_list_095.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000045,99000,0,99000,,0.2064650677789364,0.03647349224477766,0,3,2026-04-17,7,1,0,7,true,partial_same_date,partial same-date coverage,strong,"최근 7일 총매출은 전체 기간 기준이지만, 역할 비교는 관측된 일부 날짜만 반영됩니다.","기간 총매출은 7일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/7일, 비교 구간 0/7일입니다. 총매출 해석은 그대로 보셔도 되지만, 역할 변화 해석은 실제 관측된 날짜만 반영된 제한적 참고값입니다.","최근 7일 총매출과 역할 변화 해석은 같은 범위를 뜻하지 않으며, 역할 표는 관측 확보분만 반영한 참고값입니다.","기간 총매출은 7일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/7일, 비교 구간 0/7일입니다."
weekly,,관측 상태 없음,1000000113,매화 5송이 3호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000113/image/list/1000000113_list_070.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000113,167700,0,167700,,0.48510269019380964,0.06178388534797185,0,1,2026-04-17,7,1,0,7,true,partial_same_date,partial same-date coverage,strong,"최근 7일 총매출은 전체 기간 기준이지만, 역할 비교는 관측된 일부 날짜만 반영됩니다.","기간 총매출은 7일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/7일, 비교 구간 0/7일입니다. 총매출 해석은 그대로 보셔도 되지만, 역할 변화 해석은 실제 관측된 날짜만 반영된 제한적 참고값입니다.","최근 7일 총매출과 역할 변화 해석은 같은 범위를 뜻하지 않으며, 역할 표는 관측 확보분만 반영한 참고값입니다.","기간 총매출은 7일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/7일, 비교 구간 0/7일입니다."
weekly,,관측 상태 없음,1000000112,매화 5송이 2호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000112/image/list/1000000112_list_032.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000112,129000,0,129000,,0.37315591553369976,0.047526065652286044,0,2,2026-04-17,7,1,0,7,true,partial_same_date,partial same-date coverage,strong,"최근 7일 총매출은 전체 기간 기준이지만, 역할 비교는 관측된 일부 날짜만 반영됩니다.","기간 총매출은 7일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/7일, 비교 구간 0/7일입니다. 총매출 해석은 그대로 보셔도 되지만, 역할 변화 해석은 실제 관측된 날짜만 반영된 제한적 참고값입니다.","최근 7일 총매출과 역할 변화 해석은 같은 범위를 뜻하지 않으며, 역할 표는 관측 확보분만 반영한 참고값입니다.","기간 총매출은 7일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/7일, 비교 구간 0/7일입니다."
weekly,,관측 상태 없음,1000000033,가래떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000033/image/list/1000000033_list_090.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000033,49000,0,49000,,0.1417413942724906,0.01805253656559702,0,3,2026-04-17,7,1,0,7,true,partial_same_date,partial same-date coverage,strong,"최근 7일 총매출은 전체 기간 기준이지만, 역할 비교는 관측된 일부 날짜만 반영됩니다.","기간 총매출은 7일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/7일, 비교 구간 0/7일입니다. 총매출 해석은 그대로 보셔도 되지만, 역할 변화 해석은 실제 관측된 날짜만 반영된 제한적 참고값입니다.","최근 7일 총매출과 역할 변화 해석은 같은 범위를 뜻하지 않으며, 역할 표는 관측 확보분만 반영한 참고값입니다.","기간 총매출은 7일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/7일, 비교 구간 0/7일입니다."
