date,product_id,product_name_latest,first_customer_cnt,revenue_90d,entry_gravity_primary_type,entry_gravity_score,expansion_gravity_primary_type,expansion_gravity_score
2026-04-05,1000000027,마스코바도 설기,15,3216920,Qualified,8.045664608272103E-4,Core,1.1293910384043644E-1
2026-04-05,1000000028,마스코바도 딸기설기,13,2453840,None,4.038396144877456E-4,None,1.6221732047205128E-2
2026-04-05,1000000033,가래떡(40개) 4kg,46,6815500,None,7.460322368297388E-3,None,6.989119139675219E-2
2026-04-05,1000000035,떡국떡 500g,77,21966100,None,2.8545683431010452E-2,None,1.3019201294711857E-1
2026-04-05,1000000042,약식,188,36574640,Qualified,7.668865338053574E-2,Scale,4.9650854127257493E-1
2026-04-05,1000000043,모듬영양찰떡,194,35856080,None,7.727193198691498E-2,None,1.8849612581230568E-1
2026-04-05,1000000044,고구마찰떡,141,27996040,None,5.234607165579076E-2,None,1.5060284885945555E-1
2026-04-05,1000000045,완두시루떡,312,101212040,Broad,2.1772828170156652E-1,None,1.9838674482444682E-1
2026-04-05,1000000062,흰이티,240,44132400,Broad,1.0238234417495859E-1,None,2.5154719989514778E-2
2026-04-05,1000000063,쑥이티,296,64375180,Broad,1.5124948078703063E-1,None,1.459871788189511E-1
2026-04-05,1000000064,2색 이티,1655,248129740,Broad,1,None,1.1482761419488655E-1
2026-04-05,1000000065,흰인절미,50,10244100,None,1.1038722888536719E-2,None,7.90056819434829E-2
2026-04-05,1000000066,쑥인절미,86,14615040,None,2.2889862631939387E-2,None,8.03288493819056E-2
2026-04-05,1000000069,설기세트,103,21292540,None,3.4399066423677245E-2,None,3.732308721376795E-2
2026-04-05,1000000070,마스코바도 쑥설기,23,3663420,None,1.8989881579461981E-3,None,4.336311004482376E-2
2026-04-05,1000000071,마스코바도 호박설기,35,5767840,None,4.865146932827364E-3,None,5.74149088390431E-2
2026-04-05,1000000072,마스코바도 흑임자설기,13,1470500,None,1.528253185746204E-4,None,1.6221732047205128E-2
2026-04-05,1000000083,백설기,78,20116880,None,2.6877939438498484E-2,None,1.2773318154924443E-1
2026-04-05,1000000084,십리향 1단 (1호 2호 3호),147,39029600,None,6.85809717805855E-2,None,2.634895937546153E-2
2026-04-05,1000000085,십리향 2단 (1호 2호 3호),315,70304000,Broad,1.6696590656969434E-1,None,2.0740370571239916E-1
2026-04-05,1000000086,십리향 3단,199,50777520,Qualified,1.00525937373643E-1,Deep,5.492608909456661E-1
2026-04-05,1000000087,백리향 1단 (1호 2호 3호),457,90366820,Broad,2.470207911099425E-1,None,1.7142307189037947E-1
2026-04-05,1000000088,백리향 2단 (1호 2호),350,90903200,Broad,2.132909840131832E-1,None,2.910950908039243E-1
2026-04-05,1000000089,백리향 3단,51,20477420,Qualified,1.9977022960634288E-2,Deep,3.5100335297362195E-1
2026-04-05,1000000090,일리향 1단 (1호 2호 3호),128,33467120,None,5.5892358602135664E-2,None,4.650832605335015E-3
2026-04-05,1000000091,일리향 2단 (1호 2호 3호),179,106031980,None,1.7287487688949071E-1,None,1.6714322297740364E-1
2026-04-05,1000000092,일리향 3단,154,40859460,None,7.308551773390348E-2,None,1.2923170536736317E-1
2026-04-05,1000000093,매화 2송이 1호,697,236151940,Broad,6.187229896434655E-1,None,1.9240572839236536E-1
2026-04-05,1000000094,매화 3송이 1호,190,93608140,None,1.59776132259288E-1,None,1.7719958798036375E-1
2026-04-05,1000000095,매화 5송이 1호,7,5727000,None,0,None,0
2026-04-05,1000000108,매화 2송이 2호,247,119587300,Broad,2.2253012099564068E-1,None,2.0122705201000793E-1
2026-04-05,1000000110,매화 3송이 2호,71,35632400,None,4.063946602643541E-2,None,8.110272880559914E-2
2026-04-05,1000000111,매화 3송이 3호,337,149515500,Broad,3.0903555801438143E-1,None,2.2547911922009836E-1
2026-04-05,1000000112,매화 5송이 2호,93,52530900,None,6.702999677493739E-2,None,9.484318056095747E-2
2026-04-05,1000000113,매화 5송이 3호,102,56058000,Heavy,7.467537649055656E-2,None,1.3044910679290941E-1
2026-04-05,1000000121,깨송편 1kg,183,25815100,None,5.993609312461938E-2,None,1.0741475350146615E-1
2026-04-05,1000000127,흑임자이티,245,41356980,Broad,9.944218325097523E-2,None,3.580770264791278E-2
2026-04-05,1000000128,흑임자인절미,61,12027760,None,1.4893840127982701E-2,None,5.261190267056899E-2
2026-04-05,1000000142,경기 미숫가루,34,8416840,None,6.490238355096702E-3,None,6.022723003519105E-2
2026-04-05,1000000143,"경기참기름, 경기들기름",25,9081420,None,5.057573600639037E-3,None,6.258587550274847E-2
2026-04-05,1000000144,경기 미숫가루 쫀드기,61,16109740,None,1.870661333246669E-2,None,0
2026-04-05,1000000153,유밀상,55,3817000,None,6.334068083627038E-3,None,4.7875698298235306E-2
2026-04-05,1000000154,화연상,36,3447000,None,3.402188586687617E-3,None,5.4650859891008714E-2
2026-04-05,1000000156,기원상,68,4514600,None,8.974116324695837E-3,None,1.0447912031285295E-1
2026-04-06,1000000027,마스코바도 설기,15,3216920,Qualified,8.007556775097137E-4,Core,1.1115088214237276E-1
2026-04-06,1000000028,마스코바도 딸기설기,14,3204840,None,6.942440914142006E-4,None,1.4191109250605101E-2
2026-04-06,1000000033,가래떡(40개) 4kg,46,6815500,None,7.42633125536641E-3,None,6.787423160687867E-2
2026-04-06,1000000035,떡국떡 500g,77,21966100,None,2.840763783349637E-2,None,1.2643485772012616E-1
2026-04-06,1000000042,약식,188,36574640,Qualified,7.632876274664893E-2,Scale,4.8889125283112866E-1
2026-04-06,1000000043,모듬영양찰떡,194,35854580,None,7.690868679029218E-2,None,1.8305639730414305E-1
2026-04-06,1000000044,고구마찰떡,142,28061540,None,5.24435917678477E-2,None,1.4456767707597667E-1
2026-04-06,1000000045,완두시루떡,311,101158040,Broad,2.1622292169405913E-1,None,1.937002615822669E-1
2026-04-06,1000000062,흰이티,240,44132400,Broad,1.019041062853333E-1,None,2.442879075965854E-2
2026-04-06,1000000063,쑥이티,297,64541180,Broad,1.511098176712658E-1,None,1.4082039399662422E-1
2026-04-06,1000000064,2색 이티,1660,249294240,Broad,1,None,1.104387966065445E-1
2026-04-06,1000000065,흰인절미,50,10244100,None,1.0986710793700937E-2,None,7.672569099659875E-2
2026-04-06,1000000066,쑥인절미,86,14615040,None,2.2783789196818508E-2,None,7.801067371581386E-2
2026-04-06,1000000069,설기세트,103,21292540,None,3.423683651385458E-2,None,3.624599631519141E-2
2026-04-06,1000000070,마스코바도 쑥설기,23,3663420,None,1.8903363707075149E-3,None,4.211171272884761E-2
2026-04-06,1000000071,마스코바도 호박설기,35,5767840,None,4.842758112494763E-3,None,5.575799671387668E-2
2026-04-06,1000000072,마스코바도 흑임자설기,13,1470500,None,1.522769644758907E-4,None,1.5753596068873013E-2
2026-04-06,1000000083,백설기,78,20116880,None,2.6748908540749516E-2,None,1.2404698467852669E-1
2026-04-06,1000000084,십리향 1단 (1호 2호 3호),148,39059600,None,6.858121526947349E-2,None,2.448822513897196E-2
2026-04-06,1000000085,십리향 2단 (1호 2호 3호),316,70411000,Broad,1.6666201167645037E-1,None,2.0037242056919496E-1
2026-04-06,1000000086,십리향 3단,199,50936020,Qualified,1.0027560688375299E-1,Deep,5.566544318890125E-1
2026-04-06,1000000087,백리향 1단 (1호 2호 3호),463,91346320,Broad,2.4955999645750673E-1,None,1.6667062193503362E-1
2026-04-06,1000000088,백리향 2단 (1호 2호),352,91264200,Broad,2.135503482633896E-1,None,2.804368612789878E-1
2026-04-06,1000000089,백리향 3단,50,20093420,Qualified,1.926520855852659E-2,Deep,3.4716577720013897E-1
2026-04-06,1000000090,일리향 1단 (1호 2호 3호),130,33902320,None,5.673736979743281E-2,None,2.3253035512148666E-3
2026-04-06,1000000091,일리향 2단 (1호 2호 3호),180,106293980,None,1.7282443635078162E-1,None,1.6963188263836695E-1
2026-04-06,1000000092,일리향 3단,156,41394660,None,7.404169614596641E-2,None,1.2252463127500884E-1
2026-04-06,1000000093,매화 2송이 1호,704,238527840,Broad,6.233275867084518E-1,None,1.8318598998962143E-1
2026-04-06,1000000094,매화 3송이 1호,190,93608140,None,1.5897972424580242E-1,None,1.7208586139199195E-1
2026-04-06,1000000095,매화 5송이 1호,7,5727000,None,0,None,0
2026-04-06,1000000108,매화 2송이 2호,247,119471300,Broad,2.212413471851513E-1,None,1.8836630851243066E-1
2026-04-06,1000000110,매화 3송이 2호,71,35632400,None,4.043636004284884E-2,None,7.876222008653454E-2
2026-04-06,1000000111,매화 3송이 3호,336,149154500,Broad,3.064779683976517E-1,None,2.2000556023343537E-1
2026-04-06,1000000112,매화 5송이 2호,93,52769100,None,6.695977109235784E-2,None,9.210614206279766E-2
2026-04-06,1000000113,매화 5송이 3호,102,56058000,Heavy,7.430097655597764E-2,None,1.266845322053535E-1
2026-04-06,1000000121,깨송편 1kg,183,25815100,None,5.966277826246557E-2,None,1.0431491739448423E-1
2026-04-06,1000000127,흑임자이티,246,41649980,Broad,9.970985309352366E-2,None,3.3978196202693094E-2
2026-04-06,1000000128,흑임자인절미,61,12027760,None,1.4823899879600056E-2,None,5.109359843172883E-2
2026-04-06,1000000142,경기 미숫가루,35,8590840,None,6.769374506764733E-3,None,7.75608031212259E-2
2026-04-06,1000000143,"경기참기름, 경기들기름",25,9081420,None,5.032579947808037E-3,None,6.077973667780719E-2
2026-04-06,1000000144,경기 미숫가루 쫀드기,61,16283740,None,1.877828277174198E-2,None,0
2026-04-06,1000000153,유밀상,55,3817000,None,6.307856166826636E-3,None,4.649407414145859E-2
2026-04-06,1000000154,화연상,36,3447000,None,3.3876714286969044E-3,None,5.3073714263937616E-2
2026-04-06,1000000156,기원상,68,4514600,None,8.936910494414295E-3,None,1.0146400237966263E-1
2026-04-07,1000000027,마스코바도 설기,15,3216920,Qualified,7.952468232457556E-4,Core,1.1106334517535661E-1
2026-04-07,1000000028,마스코바도 딸기설기,14,3204840,None,6.894167582924601E-4,None,1.4179933031051563E-2
2026-04-07,1000000033,가래떡(40개) 4kg,46,6815500,None,7.3774267336936825E-3,None,6.782077720094955E-2
2026-04-07,1000000035,떡국떡 500g,77,21966100,None,2.8207555006417195E-2,None,1.2633528384579776E-1
2026-04-07,1000000042,약식,189,36658140,Qualified,7.61975834851012E-2,Scale,4.8715212467494895E-1
2026-04-07,1000000043,모듬영양찰떡,194,35854580,None,7.638757960802821E-2,None,1.8291223109057778E-1
2026-04-07,1000000044,고구마찰떡,142,28061540,None,5.20860178254798E-2,None,1.4445382268511733E-1
2026-04-07,1000000045,완두시루떡,311,101168540,Broad,2.147049639792353E-1,None,1.9354771278479158E-1
2026-04-07,1000000062,흰이티,240,44247400,Broad,1.0139022578671639E-1,None,2.44095518457628E-2
2026-04-07,1000000063,쑥이티,296,64577180,Broad,1.498265582097515E-1,None,1.4166254331923372E-1
2026-04-07,1000000064,2색 이티,1667,251030740,Broad,1,None,1.0885692683948416E-1
2026-04-07,1000000065,흰인절미,50,10244100,None,1.0911565222950934E-2,None,7.666526561667728E-2
2026-04-07,1000000066,쑥인절미,86,14615040,None,2.2630857477144464E-2,None,7.794923634671388E-2
2026-04-07,1000000069,설기세트,103,21292540,None,3.400242226158163E-2,None,3.621745075151477E-2
2026-04-07,1000000070,마스코바도 쑥설기,23,3663420,None,1.8778884098421462E-3,None,4.2078547615471217E-2
2026-04-07,1000000071,마스코바도 호박설기,35,5767840,None,4.810505079457745E-3,None,5.571408445852474E-2
2026-04-07,1000000072,마스코바도 흑임자설기,13,1470500,None,1.5151541256300217E-4,None,1.5741189311563607E-2
2026-04-07,1000000083,백설기,78,20116880,None,2.656206228928265E-2,None,1.2394929137554106E-1
2026-04-07,1000000084,십리향 1단 (1호 2호 3호),147,38944600,None,6.766205275431397E-2,None,2.5568413809627637E-2
2026-04-07,1000000085,십리향 2단 (1호 2호 3호),318,70540000,Broad,1.6634285703499133E-1,None,1.981395871142221E-1
2026-04-07,1000000086,십리향 3단,200,51260020,Qualified,1.0034626908027526E-1,Deep,5.546961623910128E-1
2026-04-07,1000000087,백리향 1단 (1호 2호 3호),464,91536820,Broad,2.4852152899868585E-1,None,1.6583195707637083E-1
